Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
119,5,[14804.0849609375],67,52,6.285035664843748,-10714.411999705397,-1748821.4008033618
120,9,[3979.295654296875],67,53,6.285035664843748,2445.0987483883473,-1746376.3020549736
121,125,[10205.0927734375],68,53,5.97078388160156,-10862.371268190862,-1757238.6733231645
122,8,[5156.87451171875],68,54,5.97078388160156,2332.8111838053405,-1754905.8621393591
123,21,[9609.7001953125],69,54,5.97078388160156,-8009.752061819014,-1762915.614201178
124,136,[9673.7666015625],70,54,5.97078388160156,-9361.962725223028,-1772277.5769264011
125,1,[12064.0712890625],70,55,5.97078388160156,1611.581254575403,-1770665.9956718257
126,26,[86786.40625],70,56,5.97078388160156,4246.865142293995,-1766419.1305295317
127,120,[20812.40625],71,56,5.97078388160156,-1122.4442916825446,-1767541.5748212142
128,72,[4788.50390625],72,56,5.97078388160156,-11374.258845242017,-1778915.8336664562
129,16,[6412.04296875],72,57,5.97078388160156,1928.5260133994398,-1776987.3076530567
130,6,[43369.34765625],73,57,5.97078388160156,-9385.231788270848,-1786372.5394413276
131,19,[28329.587890625],73,58,5.97078388160156,3503.4612917791583,-1782869.0781495485
132,232,[5407.96826171875],73,59,5.97078388160156,3056.9742867841223,-1779812.1038627643
133,3,[4227.50244140625],73,60,5.97078388160156,1839.387303335312,-1777972.716559429
134,60,[10877.48828125],74,60,5.97078388160156,-8195.487418441502,-1786168.2039778705
135,71,[11200.921875],74,61,5.97078388160156,5284.419853720297,-1780883.7841241502
136,198,[60695.46484375],74,62,5.672244687521482,-10242.809704665538,-1791126.5938288157
137,24,[12092.0888671875],74,63,5.672244687521482,3536.262278729218,-1787590.3315500866
138,35,[22498.3515625],75,63,5.672244687521482,-7180.213285936483,-1794770.5448360231
139,299,[2454.5888671875],75,63,5.672244687521482,7595.56231557064,-1787174.9825204525
140,153,[11410.5166015625],76,63,5.672244687521482,-7094.577377144484,-1794269.559897597
141,154,[5422.05859375],77,63,5.672244687521482,-3881.1373845373137,-1798150.6972821343
142,148,[5965.13427734375],78,63,5.672244687521482,-9476.995562586168,-1807627.6928447206
143,111,[33511.03515625],78,64,5.672244687521482,4211.893660284419,-1803415.7991844362
144,299,[30585.71875],78,64,5.672244687521482,-15241.27384167755,-1818657.0730261137
145,17,[91906.4453125],78,65,5.672244687521482,2049.953842560103,-1816607.1191835536
146,123,[21095.751953125],79,65,5.672244687521482,-2811.6031285045237,-1819418.722312058
147,42,[34416.09765625],80,65,5.672244687521482,-13015.324851370724,-1832434.0471634287
148,227,[8982.2138671875],81,65,5.672244687521482,-2887.7464652617555,-1835321.7936286905
149,261,[9403.787109375],81,66,5.672244687521482,25549.204472220033,-1809772.5891564705
150,299,[74482.046875],81,66,5.672244687521482,-971.7736529599641,-1810744.3628094303
151,16,[23115.400390625],81,67,5.388632453145407,2897.413721037591,-1807846.9490883928
152,58,[34346.23046875],82,67,5.388632453145407,-11758.571109049257,-1819605.520197442
153,86,[8282.1044921875],83,67,5.388632453145407,-10340.26196484947,-1829945.7821622915
154,21,[28274.224609375],83,68,5.388632453145407,3445.63287561046,-1826500.149286681
155,56,[10123.1328125],83,69,5.388632453145407,5544.74000002988,-1820955.4092866513
156,117,[23445.443359375],83,70,5.388632453145407,-22009.23630284412,-1842964.6455894953
157,141,[66526.9609375],84,70,5.388632453145407,479.79255193919016,-1842484.8530375562
158,23,[11390.5361328125],84,71,5.388632453145407,403.64706775532204,-1842081.205969801
159,10,[8831.2822265625],84,72,5.388632453145407,2561.281482549218,-1839519.9244872518
160,139,[16325608.0],84,73,5.388632453145407,-2799.749119686231,-1842319.673606938
161,58,[8419.6171875],84,74,5.388632453145407,6578.969893803014,-1835740.7037131349
162,9,[14822.4248046875],85,74,5.388632453145407,-11457.010614339082,-1847197.714327474
163,187,[103889.9609375],85,75,5.388632453145407,7091.669036111239,-1840106.0452913626
164,104,[6981.23046875],86,75,5.388632453145407,-1758.5501543200844,-1841864.5954456828
165,189,[17385.564453125],87,75,5.388632453145407,2540.197033568975,-1839324.3984121138
166,93,[4739.73486328125],87,76,5.119200830488136,9970.837193310474,-1829353.5612188033
167,113,[427466.84375],88,76,5.119200830488136,-3358.3215927994443,-1832711.8828116027
168,8,[251885.25],88,77,5.119200830488136,2327.189973738355,-1830384.6928378644
169,19,[24916.068359375],88,78,5.119200830488136,3497.4470244510194,-1826887.2458134133
170,27,[3628.869140625],89,78,5.119200830488136,-14262.71768272476,-1841149.963496138
171,4,[5320.849609375],89,79,5.119200830488136,1902.2412645875638,-1839247.7222315506
172,176,[52709.76171875],89,80,5.119200830488136,-17799.70989711551,-1857047.4321286662
173,299,[6697.98876953125],89,80,5.119200830488136,14414.097459693105,-1842633.334668973
174,266,[76284.9765625],89,81,5.119200830488136,13197.708359214572,-1829435.6263097585
175,277,[14085.3046875],90,81,5.119200830488136,-12579.165480010612,-1842014.7917897692
176,5,[125358.3125],90,82,5.119200830488136,2019.3443369159136,-1839995.4474528532
