Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
65,216,13,155449.609375,32,7.716374999999998,-131989.62681827773,-4668344.049150056
66,299,5,36046.21875,32,7.716374999999998,-104820.33434390761,-4773164.383493964
67,299,8,20704.416015625,32,7.716374999999998,-93277.06320341968,-4866441.446697383
68,299,16,6271.68896484375,32,7.716374999999998,-58309.892068182155,-4924751.338765565
69,181,4,94366.9921875,33,7.716374999999998,-138557.7775795936,-5063309.116345159
70,71,0,281528.21875,34,7.716374999999998,-4620.003452241056,-5067929.1197974
71,299,9,11893.5693359375,34,7.716374999999998,-97402.96428338428,-5165332.084080785
72,299,10,176231.234375,34,7.716374999999998,-134423.57960585481,-5299755.66368664
73,299,14,97878.3359375,34,7.716374999999998,1789.7375982982096,-5297965.9260883415
74,148,5,91958.3359375,35,7.716374999999998,-101637.7418958782,-5399603.667984219
75,299,15,98544.6640625,35,7.716374999999998,-107893.571300123,-5507497.239284342
76,299,18,6125.59912109375,35,7.716374999999998,-28946.19303042125,-5536443.432314764
77,264,5,3809.502685546875,36,7.716374999999998,-117982.22312842969,-5654425.655443193
78,299,28,72476.3984375,36,7.716374999999998,-116096.15642836914,-5770521.811871562
79,299,7,72731.7890625,36,7.716374999999998,-20966.852332224516,-5791488.664203786
80,43,0,106893.71875,37,7.716374999999998,-7299.6865869700705,-5798788.350790757
81,299,2,13492.5751953125,37,7.330556249999998,-65581.96248809758,-5864370.313278854
82,87,0,17996.041015625,38,7.330556249999998,-29363.178689839213,-5893733.491968693
83,299,2,12081.9521484375,38,7.330556249999998,-46292.284601795676,-5940025.776570489
84,299,7,24004.318359375,38,7.330556249999998,-164783.296379742,-6104809.072950231
85,26,0,33216.81640625,39,7.330556249999998,3933.8594477842707,-6100875.213502446
86,140,4,190270.359375,40,7.330556249999998,-54288.03971057346,-6155163.25321302
87,165,14,259351.546875,41,7.330556249999998,-21609.792165235227,-6176773.045378256
88,76,3,341403.5,42,7.330556249999998,-38748.79923316693,-6215521.844611422
89,39,0,84797.5859375,43,7.330556249999998,-1229.5220018619757,-6216751.366613284
90,299,39,29521.4921875,43,7.330556249999998,-20864.7570954024,-6237616.123708686
91,299,2,63411.45703125,43,7.330556249999998,-95253.66510709708,-6332869.788815783
92,299,9,10436.0654296875,43,7.330556249999998,-106644.67018416828,-6439514.458999951
93,32,0,497311.28125,44,7.330556249999998,2870.481545827093,-6436643.977454124
94,15,0,47786.55078125,45,7.330556249999998,-3454.947811478196,-6440098.925265602
95,299,2,12440.69921875,45,7.330556249999998,-16701.043638059047,-6456799.968903661
96,299,42,23277.544921875,45,7.330556249999998,-56078.260873986306,-6512878.229777647
97,299,17,66146.6015625,45,7.330556249999998,-76067.50218942955,-6588945.731967077
98,299,14,72381.640625,45,7.330556249999998,-160716.42483731924,-6749662.156804396
99,43,0,8416.42578125,46,7.330556249999998,5422.347553743204,-6744239.809250653
100,299,8,58730.21875,46,7.330556249999998,-93642.96099452554,-6837882.770245179
101,299,9,17669.544921875,46,6.964028437499998,-104359.43889993233,-6942242.209145111
102,299,10,21938.375,46,6.964028437499998,-116188.66474886006,-7058430.873893971
103,224,4,2257287.75,47,6.964028437499998,-116039.11633314498,-7174469.990227115
104,5,0,26256.9140625,48,6.964028437499998,1917.9814446893329,-7172552.008782426
105,299,18,92901.3515625,48,6.964028437499998,-130200.32164667673,-7302752.330429102
106,299,6,21980.947265625,48,6.964028437499998,-25659.16697572343,-7328411.497404826
107,26,0,68703.203125,49,6.964028437499998,3823.791131502192,-7324587.706273324
108,9,0,63001.9375,50,6.964028437499998,2263.8034397498204,-7322323.902833574
109,200,0,17725.126953125,51,6.964028437499998,-122048.20310498566,-7444372.10593856
110,136,2,19797.607421875,52,6.964028437499998,-140108.06441438658,-7584480.170352947
111,109,0,85734.890625,53,6.964028437499998,-2597.6819124091526,-7587077.852265356
112,24,0,37243.25,54,6.964028437499998,3879.012651726946,-7583198.8396136295
113,43,0,6890.044921875,55,6.964028437499998,5388.923358714628,-7577809.916254915
114,299,8,219954.625,55,6.964028437499998,-56673.27416733356,-7634483.190422249
115,299,20,18255.587890625,55,6.964028437499998,-76574.37856211778,-7711057.568984367
116,62,0,92858.75,56,6.964028437499998,-27578.700938957925,-7738636.269923325
117,299,10,5541.703125,56,6.964028437499998,-120831.67904735003,-7859467.948970675
118,299,19,84567.46875,56,6.964028437499998,-125173.9894373873,-7984641.938408062
119,299,10,27409.380859375,56,6.964028437499998,-24229.518235399006,-8008871.456643461
120,299,2,5397.11083984375,56,6.964028437499998,-95233.03726818536,-8104104.493911646
121,299,4,188117.1875,56,6.615827015624998,-184348.09184990666,-8288452.585761553
122,206,2,72847.3828125,57,6.615827015624998,-73752.4789910117,-8362205.064752565
123,299,9,97417.7578125,57,6.615827015624998,-34328.17129692647,-8396533.236049492
124,299,2,18228.837890625,57,6.615827015624998,-123713.57591589027,-8520246.811965382
125,124,2,169207.828125,58,6.615827015624998,-45851.57453555504,-8566098.386500936
126,299,2,22717.021484375,58,6.615827015624998,-137513.17244957053,-8703611.558950506
127,299,23,15404.2041015625,58,6.615827015624998,-110353.39734848838,-8813964.956298994
128,299,8,7055.02490234375,58,6.615827015624998,-61088.893087368015,-8875053.849386362
129,299,4,17418.154296875,58,6.615827015624998,-54144.10549903301,-8929197.954885395
130,299,12,111682.2265625,58,6.615827015624998,-278265.6330053555,-9207463.587890752
131,299,33,24258.541015625,58,6.615827015624998,-80282.0785627706,-9287745.666453522
132,57,2,4884.9755859375,59,6.615827015624998,-34019.627422854566,-9321765.293876376
133,299,11,125771.9921875,59,6.615827015624998,-44440.26791245059,-9366205.561788827
134,299,2,99435.7734375,59,6.615827015624998,-195340.36322013155,-9561545.925008958
135,80,0,110174.46875,60,6.615827015624998,-7999.3986160857985,-9569545.323625045
136,299,14,169995.375,60,6.615827015624998,-198860.57544607233,-9768405.899071118
137,21,0,32213.064453125,61,6.615827015624998,644.8654463266901,-9767761.03362479
138,299,7,59177.04296875,61,6.615827015624998,-91337.55176154549,-9859098.585386336
139,295,36,60500.921875,62,6.615827015624998,-51296.347735836025,-9910394.933122171
140,299,8,7154.28955078125,62,6.615827015624998,-82434.17738767891,-9992829.11050985
141,299,16,101025.3515625,62,6.285035664843748,-14241.334879991355,-10007070.44538984
142,299,15,94456.8515625,62,6.285035664843748,-114802.46366061733,-10121872.909050457
143,299,5,84927.6171875,62,6.285035664843748,-89212.4504058326,-10211085.35945629
144,299,32,7905.541015625,62,6.285035664843748,-83192.58257463692,-10294277.942030927
145,299,17,81970.2421875,62,6.285035664843748,-101808.05967742516,-10396086.001708353
146,37,0,176603.25,63,6.285035664843748,5230.418179131528,-10390855.58352922
147,299,24,34651.34765625,63,6.285035664843748,-35802.31696447142,-10426657.900493693
148,8,0,357056.15625,64,6.285035664843748,2308.1678253767054,-10424349.732668316
149,299,24,100951.0859375,64,6.285035664843748,-86545.10423733434,-10510894.83690565
150,299,9,110787.6484375,64,6.285035664843748,-59101.58487244334,-10569996.421778094
151,299,41,51921.03515625,64,6.285035664843748,-27902.655954885708,-10597899.07773298
152,299,12,4706.990234375,64,6.285035664843748,-114973.034998598,-10712872.112731578
153,299,40,113861.875,64,6.285035664843748,-103339.60039450446,-10816211.713126082
154,184,6,21351.3046875,65,6.285035664843748,-59819.62133553125,-10876031.334461613
155,299,12,5877.375,65,6.285035664843748,-96248.91690142025,-10972280.251363033
156,21,0,27408.931640625,66,6.285035664843748,3625.9773307670403,-10968654.274032267
157,299,13,62236.02734375,66,6.285035664843748,-71138.54663862042,-11039792.820670888
158,299,17,56956.70703125,66,6.285035664843748,-103416.91063973436,-11143209.731310623
159,299,6,1068.0848388671875,66,6.285035664843748,-105138.81367693636,-11248348.54498756
160,299,18,59850.8125,66,6.285035664843748,-118683.07321945803,-11367031.618207017
161,112,3,193167.140625,67,5.97078388160156,-62528.314081430326,-11429559.932288447
162,299,35,86403.5390625,67,5.97078388160156,-23423.71552489477,-11452983.647813343
163,299,37,40168.43359375,67,5.97078388160156,-108002.3394931731,-11560985.987306515
164,159,5,11306.7763671875,68,5.97078388160156,1798.408055726203,-11559187.579250788
165,218,3,82314.1015625,69,5.97078388160156,-22554.748690484714,-11581742.327941272
166,299,35,87522.7265625,69,5.97078388160156,-108130.2519072177,-11689872.57984849
167,249,4,118758.9453125,70,5.97078388160156,-118194.5229910324,-11808067.102839524
168,299,30,9299.7099609375,70,5.97078388160156,-29220.49140860012,-11837287.594248123
169,15,0,29937.59375,71,5.97078388160156,3240.432536638534,-11834047.161711484
170,299,2,97150.1328125,71,5.97078388160156,-87307.57261464208,-11921354.734326126
171,299,0,2303669.5,71,5.97078388160156,-91366.3147691283,-12012721.049095254
172,299,13,18347.8203125,71,5.97078388160156,-171176.2366457056,-12183897.28574096
173,299,10,24975.4921875,71,5.97078388160156,-44720.56120807438,-12228617.846949035
174,299,6,91522.09375,71,5.97078388160156,-100936.84424657343,-12329554.691195609
175,299,5,27463.2265625,71,5.97078388160156,-160467.66209655488,-12490022.353292163
176,299,15,10053.529296875,71,5.97078388160156,-56350.80104338899,-12546373.154335553
177,18,0,46673.76171875,72,5.97078388160156,476.38282518990127,-12545896.771510363
178,299,9,118661.7265625,72,5.97078388160156,-30395.215193594784,-12576291.986703956
179,299,12,73115.671875,72,5.97078388160156,-112550.23355677753,-12688842.220260734
180,7,0,157920.578125,73,5.97078388160156,-1532.3200122245926,-12690374.540272959
181,299,13,17688.19921875,73,5.672244687521482,-105395.52877033605,-12795770.069043295
182,299,18,8057.40234375,73,5.672244687521482,-32462.844017429536,-12828232.913060725
183,299,18,24068.458984375,73,5.672244687521482,-131674.6366819299,-12959907.549742654
184,24,0,34348.05859375,74,5.672244687521482,13.741486740652363,-12959893.808255913
185,58,0,28278.404296875,75,5.672244687521482,-9053.18736587512,-12968946.995621787
186,299,2,21499.044921875,75,5.672244687521482,-134894.94109082266,-13103841.93671261
