Episode,Steps Done,MSE,Lost Counter,Done Counter,Epsilon,Instant Reward,Cummulative Reward
120,70,130484.328125,70,46,6.285035664843748,-10922.93349306619,-1925394.8462094686
121,9,29699.47265625,70,47,5.97078388160156,2535.6112092388375,-1922859.2350002297
122,17,4637.20068359375,71,47,5.97078388160156,-8421.111348967424,-1931280.3463491972
123,63,5397.68408203125,72,47,5.97078388160156,-5575.595704580762,-1936855.9420537779
124,146,44075.69921875,72,48,5.97078388160156,10179.380355050775,-1926676.561698727
125,20,107331.5546875,73,48,5.97078388160156,-8153.76000484387,-1934830.321703571
126,299,20920.83984375,73,48,5.97078388160156,15899.147669649685,-1918931.1740339212
127,2,2556.535888671875,73,49,5.97078388160156,1725.63685306418,-1917205.537180857
128,299,6099.06591796875,73,49,5.97078388160156,7844.941433315728,-1909360.5957475414
129,10,20489.03125,73,50,5.97078388160156,2651.852261274569,-1906708.7434862668
130,220,17836.189453125,73,51,5.97078388160156,-15345.782960371951,-1922054.5264466389
131,74,70081.28125,74,51,5.97078388160156,-7038.878797015912,-1929093.4052436547
132,19,2818.849365234375,74,52,5.97078388160156,3313.765712397587,-1925779.639531257
133,150,10964.611328125,75,52,5.97078388160156,-5246.077118997431,-1931025.7166502546
134,57,38123.41015625,75,53,5.97078388160156,6359.620550247214,-1924666.0961000074
135,224,55071.5546875,76,53,5.97078388160156,-686.3969971342322,-1925352.4930971416
136,167,4458.1572265625,77,53,5.672244687521482,-10580.65157212998,-1935933.1446692715
137,51,19376.94140625,77,54,5.672244687521482,5581.318534853904,-1930351.8261344177
138,57,24033.802734375,77,55,5.672244687521482,-3043.5386925153944,-1933395.364826933
139,299,8695.4921875,77,55,5.672244687521482,8894.39714244937,-1924500.9676844836
140,24,37837.0546875,77,56,5.672244687521482,2557.3163562156215,-1921943.651328268
141,31,13973.2734375,77,57,5.672244687521482,-1762.3346603811624,-1923705.985988649
142,49,2965.2421875,77,58,5.672244687521482,5256.679930582097,-1918449.306058067
143,127,19671.888671875,77,59,5.672244687521482,12589.621194267393,-1905859.6848637995
144,15,26132.119140625,77,60,5.672244687521482,3145.024127728321,-1902714.6607360712
145,23,12352.8544921875,77,61,5.672244687521482,-3150.5427695855888,-1905865.2035056567
146,1,2804.11376953125,77,62,5.672244687521482,1605.011112483192,-1904260.1923931735
147,1,50262.37109375,77,63,5.672244687521482,1611.581254575403,-1902648.611138598
148,23,51382.48046875,77,64,5.672244687521482,3558.5530264034796,-1899090.0581121945
149,74,12065.0859375,77,65,5.672244687521482,2659.303012457578,-1896430.7550997369
150,82,26913.904296875,78,65,5.672244687521482,-3576.840046772817,-1900007.5951465096
151,39,62135.78515625,78,66,5.388632453145407,5571.544913758533,-1894436.050232751
152,30,24283.927734375,78,67,5.388632453145407,3299.795989798762,-1891136.2542429522
153,10,7920632.5,79,67,5.388632453145407,-10006.539130398061,-1901142.7933733503
154,299,4134.28173828125,79,67,5.388632453145407,22052.461242048907,-1879090.3321313013
155,6,13977.466796875,80,67,5.388632453145407,-16245.89817475964,-1895336.230306061
156,8,6375.2783203125,80,68,5.388632453145407,2286.751241570938,-1893049.47906449
157,91,4902.98095703125,81,68,5.388632453145407,-2568.1797321956947,-1895617.6587966857
158,49,19552.595703125,81,69,5.388632453145407,5581.333566411976,-1890036.325230274
159,23,17427.61328125,81,70,5.388632453145407,3529.3203806567585,-1886507.0048496171
160,161,14998.0244140625,81,71,5.388632453145407,-3156.1876960887103,-1889663.192545706
161,143,12456.2353515625,82,71,5.388632453145407,-6341.575753362508,-1896004.7682990686
162,6,121625.984375,82,72,5.388632453145407,2093.627340774058,-1893911.1409582945
163,23,75778.375,82,73,5.388632453145407,1144.0472796719564,-1892767.0936786225
164,299,18370.470703125,82,73,5.388632453145407,10523.043979867836,-1882244.0496987547
