Episode,Steps Done,Steps Lost,MSE,Done Counter,Epsilon,Instant Reward,Cummulative Reward
51,299,8,738.2012329101562,7,0.6925047774904183,-2513.2424513473834,-57116708.62182441
52,299,2,84032.9140625,7,0.6925047774904183,-169253.95033641905,-57285962.57216083
53,299,0,576.2932739257812,7,0.6925047774904183,-284777.52425080794,-57570740.09641164
54,299,0,1031.1163330078125,7,0.6925047774904183,26323.637579174243,-57544416.458832465
55,299,1,3145.501708984375,7,0.6925047774904183,-101131.51378985753,-57645547.97262232
56,299,3,2977.256103515625,7,0.6925047774904183,-167716.63779916754,-57813264.610421486
57,64,0,5438.791015625,8,0.6925047774904183,-37083.499796944525,-57850348.11021843
58,299,0,3800.667236328125,8,0.6925047774904183,25681.13539057197,-57824666.974827856
59,240,0,3892.9755859375,9,0.6925047774904183,-169436.1667652791,-57994103.141593136
60,299,0,2568.0771484375,9,0.6925047774904183,-7019.648601882662,-58001122.79019502
61,299,33,2868.961669921875,9,0.6578795386158973,-201635.22644349266,-58202758.01663851
62,42,0,7725.52685546875,10,0.6578795386158973,5028.972990670378,-58197729.04364784
63,86,0,81765.546875,11,0.6578795386158973,9582.203025481776,-58188146.84062236
64,299,3,4926.24365234375,11,0.6578795386158973,-295588.59983521624,-58483735.440457575
65,299,16,81585.53125,11,0.6578795386158973,-108353.62910476701,-58592089.069562346
66,207,1,3200.944580078125,12,0.6578795386158973,-8554.519567450914,-58600643.5891298
67,143,3,6786.14990234375,13,0.6578795386158973,-1004.1755774432572,-58601647.764707245
68,299,44,140996.484375,13,0.6578795386158973,-19962.26309402424,-58621610.02780127
69,299,41,23190.384765625,13,0.6578795386158973,-9378.098083684818,-58630988.12588495
70,183,0,6045.46728515625,14,0.6578795386158973,-40802.506956244804,-58671790.63284119
71,81,2,1313.1324462890625,15,0.6578795386158973,-19900.58532320618,-58691691.2181644
72,299,4,7788.1875,15,0.6578795386158973,-134842.93428383747,-58826534.15244824
73,299,31,22367.318359375,15,0.6578795386158973,-121566.51209791494,-58948100.664546154
74,174,7,130046.65625,16,0.6578795386158973,12858.759315579178,-58935241.905230574
75,299,16,3435.458984375,16,0.6578795386158973,-46862.39774399088,-58982104.30297457
76,299,0,5644.73876953125,16,0.6578795386158973,28482.035606759768,-58953622.26736781
77,299,0,161754.828125,16,0.6578795386158973,-196234.6381989475,-59149856.90556676
78,205,36,5557.05908203125,17,0.6578795386158973,14182.826485769421,-59135674.07908099
79,299,6,1659.4029541015625,17,0.6578795386158973,-174828.40672056878,-59310502.48580156
80,299,0,139503.234375,17,0.6578795386158973,12608.571200843877,-59297893.91460072
81,299,0,3785.540283203125,17,0.6249855616851024,-91539.00119081905,-59389432.91579154
82,299,0,24943.802734375,17,0.6249855616851024,26085.258603626935,-59363347.65718792
83,299,11,1891.7933349609375,17,0.6249855616851024,-155705.03951648704,-59519052.6967044
84,299,0,174350.8125,17,0.6249855616851024,-24467.45974938059,-59543520.15645378
85,299,0,16286.40625,17,0.6249855616851024,19145.506012071208,-59524374.650441706
86,299,16,3065.25390625,17,0.6249855616851024,26707.516051868206,-59497667.13438984
87,299,0,9717.1650390625,17,0.6249855616851024,-160050.08192770317,-59657717.21631754
88,299,32,16509.9140625,17,0.6249855616851024,-140875.28057643384,-59798592.49689397
89,299,0,78879.3125,17,0.6249855616851024,27341.36620900327,-59771251.13068497
90,299,1,13180.4248046875,17,0.6249855616851024,14699.108280430057,-59756552.022404544
91,299,1,6584.20556640625,17,0.6249855616851024,-261478.68054550065,-60018030.702950045
92,299,0,58712.19140625,17,0.6249855616851024,26719.55144974063,-59991311.15150031
93,299,7,10720.2724609375,17,0.6249855616851024,18547.47015693978,-59972763.68134337
94,299,10,7331.908203125,17,0.6249855616851024,-224174.82476492008,-60196938.50610829
95,299,5,2374.904296875,17,0.6249855616851024,-40067.16281984766,-60237005.66892814
96,299,0,10539.2646484375,17,0.6249855616851024,26305.290967195742,-60210700.37796094
97,299,0,2762.583251953125,17,0.6249855616851024,-219360.51862406664,-60430060.89658501
98,299,0,6926.52978515625,17,0.6249855616851024,-130377.9981929621,-60560438.89477797
99,299,0,2828.21484375,17,0.6249855616851024,-4455.420914910767,-60564894.31569288
100,299,0,96519.6796875,17,0.6249855616851024,25570.638198893732,-60539323.67749398
101,299,2,10071.12890625,17,0.5937362836008473,26107.095776059516,-60513216.58171792
102,158,1,7155.58642578125,18,0.5937362836008473,-103515.28339137809,-60616731.8651093
103,299,23,10956.1513671875,18,0.5937362836008473,-88901.21902544341,-60705633.08413474
104,299,49,80524.140625,18,0.5937362836008473,-79193.56377291905,-60784826.64790766
105,299,12,155420.75,18,0.5937362836008473,22851.89141558378,-60761974.75649208
106,299,8,5095.94384765625,18,0.5937362836008473,-242126.77450266524,-61004101.53099474
107,299,4,161058.078125,18,0.5937362836008473,-206579.95524033275,-61210681.486235075
108,299,16,3065.278564453125,18,0.5937362836008473,-227789.13960019354,-61438470.62583527
109,299,0,1098.487548828125,18,0.5937362836008473,4265.483711863457,-61434205.14212341
110,299,22,714.78271484375,18,0.5937362836008473,-40000.75429603324,-61474205.89641944
111,299,26,7368.677734375,18,0.5937362836008473,-94254.17145023606,-61568460.06786968
112,299,0,4143.69482421875,18,0.5937362836008473,-46920.58337700759,-61615380.65124669
113,299,0,2621.302490234375,18,0.5937362836008473,-314831.32512613386,-61930211.97637282
114,299,2,35432.44140625,18,0.5937362836008473,24290.34633790782,-61905921.630034916
115,299,0,9176.755859375,18,0.5937362836008473,28181.144277408686,-61877740.48575751
116,299,0,12227.89453125,18,0.5937362836008473,20969.036418030155,-61856771.44933948
117,299,33,4386.84130859375,18,0.5937362836008473,-45802.60357664611,-61902574.052916124
118,299,13,1742.3349609375,18,0.5937362836008473,-247755.744442903,-62150329.79735903
119,299,0,92514.1640625,18,0.5937362836008473,26833.161881095988,-62123496.63547793
120,299,0,7447.00634765625,18,0.5937362836008473,-23433.811412368956,-62146930.4468903
121,299,0,20195.884765625,18,0.5640494694208049,27156.569504973282,-62119773.877385326
122,161,3,3041.8564453125,19,0.5640494694208049,-102766.55932698143,-62222540.43671231
123,299,25,6336.95654296875,19,0.5640494694208049,-183256.89859359266,-62405797.3353059
124,299,7,1101.0606689453125,19,0.5640494694208049,-321841.0193360558,-62727638.35464195
125,299,3,901.0192260742188,19,0.5640494694208049,-301728.35619890137,-63029366.71084085
126,299,0,109750.8515625,19,0.5640494694208049,23890.71874295387,-63005475.9920979
127,299,2,809.0537109375,19,0.5640494694208049,-122339.57914207951,-63127815.57123998
128,299,4,15624.953125,19,0.5640494694208049,-89913.94575981419,-63217729.51699979
129,299,29,75509.2578125,19,0.5640494694208049,-123437.85136202889,-63341167.368361816
130,22,0,6753.65234375,20,0.5640494694208049,-16422.46158182541,-63357589.82994364
131,299,0,109967.6875,20,0.5640494694208049,28810.6891034905,-63328779.14084015
132,299,34,4600.2265625,20,0.5640494694208049,-51211.869221874724,-63379991.010062024
133,299,31,799.4588012695312,20,0.5640494694208049,-92330.20782110066,-63472321.217883125
134,299,0,926.716796875,20,0.5640494694208049,28346.44799215943,-63443974.769890964
135,299,4,3086.5302734375,20,0.5640494694208049,-8093.126176847329,-63452067.89606781
136,299,6,7746.53759765625,20,0.5640494694208049,-202027.84562340876,-63654095.741691224
137,299,0,3647.197998046875,20,0.5640494694208049,-151460.74494031817,-63805556.48663154
138,299,6,3042.614990234375,20,0.5640494694208049,25187.233979485,-63780369.25265206
139,299,51,1469.6119384765625,20,0.5640494694208049,-71738.15615748084,-63852107.408809535
140,299,0,127764.75,20,0.5640494694208049,27848.262476707674,-63824259.14633283
141,299,7,2807.1123046875,20,0.5358469959497646,-166898.11134114806,-63991157.25767398
142,299,3,2465.184326171875,20,0.5358469959497646,25476.402146998014,-63965680.855526984
143,17,0,2809.8037109375,21,0.5358469959497646,-304.27249729705227,-63965985.12802428
144,215,4,4358.41552734375,22,0.5358469959497646,-20215.679122631813,-63986200.807146914
145,299,0,123261.34375,22,0.5358469959497646,27399.958697682297,-63958800.84844923
146,299,0,90332.3984375,22,0.5358469959497646,27349.557821970924,-63931451.290627256
147,299,22,17088.3515625,22,0.5358469959497646,-77752.55084968967,-64009203.84147695
148,299,0,20806.806640625,22,0.5358469959497646,27369.12389318038,-63981834.71758377
149,299,0,28678.666015625,22,0.5358469959497646,23248.462404418802,-63958586.255179346
150,299,0,98790.2109375,22,0.5358469959497646,-82409.23185268823,-64040995.48703203
151,299,33,24472.822265625,22,0.5358469959497646,-205449.5272088314,-64246445.01424087
152,299,6,99714.3046875,22,0.5358469959497646,-143680.60682335307,-64390125.62106422
153,299,32,121898.03125,22,0.5358469959497646,-66690.4873841394,-64456816.108448364
154,299,1,1753.3641357421875,22,0.5358469959497646,4649.070322315098,-64452167.03812605
155,299,0,7346.32666015625,22,0.5358469959497646,6646.396034192056,-64445520.64209186
156,114,0,9740.9306640625,23,0.5358469959497646,-92047.52107696472,-64537568.163168825
157,299,30,128604.4296875,23,0.5358469959497646,-36700.05411310616,-64574268.21728193
158,299,0,90453.8828125,23,0.5358469959497646,24751.65712233509,-64549516.560159594
159,299,0,1394.77197265625,23,0.5358469959497646,26811.82105308625,-64522704.739106506
160,299,0,2531.340576171875,23,0.5358469959497646,26878.388011896273,-64495826.35109461
161,299,40,1224.3936767578125,23,0.5090546461522764,-122163.08632844788,-64617989.43742306
162,299,2,94409.3828125,23,0.5090546461522764,-297605.78059654863,-64915595.218019605
163,299,6,753.50830078125,23,0.5090546461522764,5598.39430589889,-64909996.823713705
164,299,18,6400.6953125,23,0.5090546461522764,-131893.13601825543,-65041889.95973196
165,299,0,2604.382568359375,23,0.5090546461522764,-2161.336286674884,-65044051.29601863
166,299,0,8252.8408203125,23,0.5090546461522764,9777.620365208839,-65034273.67565342
167,80,1,4724.9345703125,24,0.5090546461522764,3038.2583015908667,-65031235.41735183
168,299,0,2810.7470703125,24,0.5090546461522764,27100.9631186251,-65004134.4542332
