Episode,Epsilon,Instant Reward,Cummulative Reward
105,7.22,16755.15610259753,2321127.474148985
106,7.22,24383.03664718544,2345510.51079617
107,7.22,25700.082539602066,2371210.5933357724
108,7.22,26033.990517915146,2397244.5838536876
109,7.22,8186.549214171842,2405431.1330678593
110,7.22,26167.66831458298,2431598.8013824425
111,7.22,26702.80513468546,2458301.6065171277
112,7.22,21308.468039721865,2479610.0745568494
113,7.22,26260.807326162234,2505870.8818830117
114,7.22,20028.466226265897,2525899.3481092774
115,7.22,25611.735434328686,2551511.083543606
116,7.22,26197.68728332779,2577708.770826934
117,7.22,25163.902951057848,2602872.673777992
118,7.22,24564.92195872706,2627437.5957367187
119,7.22,6532.086044218264,2633969.681780937
120,7.22,26978.36633458996,2660948.0481155273
121,7.22,26179.154170024176,2687127.2022855515
122,7.22,5677.784126283795,2692804.986411835
123,7.22,25240.25792988492,2718045.24434172
124,7.22,26203.798206423486,2744249.0425481433
125,7.22,19854.1706003197,2764103.213148463
126,7.22,26412.248095778992,2790515.4612442423
127,7.22,3603.4310922026807,2794118.892336445
128,7.22,26906.39643934838,2821025.2887757933
129,7.22,13150.268567246634,2834175.55734304
130,7.22,25620.37836648989,2859795.93570953
131,7.22,13027.34315179078,2872823.2788613206
132,7.22,26736.44880557433,2899559.727666895
133,7.22,25921.171574405013,2925480.8992413
134,7.22,5624.131320082896,2931105.030561383
135,7.22,25991.542330815926,2957096.572892199
136,7.22,17885.232744442837,2974981.8056366416
137,7.22,25787.752236070308,3000769.5578727117
138,7.22,27449.021167034967,3028218.5790397464
139,7.22,24927.517030852352,3053146.096070599
140,7.22,18252.242783869016,3071398.338854468
141,7.22,26556.491715103602,3097954.8305695713
142,7.22,26062.34851752554,3124017.179087097
143,7.22,13949.07009000014,3137966.249177097
144,7.22,25199.998792310882,3163166.2479694076
145,7.22,12970.548797606827,3176136.7967670145
146,7.22,26074.091046050027,3202210.8878130647
147,7.22,17586.52480209043,3219797.4126151553
148,7.22,12057.626035284322,3231855.0386504396
149,7.22,26128.276491618824,3257983.3151420583
150,7.22,25406.490986801076,3283389.8061288595
151,6.858999999999999,26053.47981206935,3309443.285940929
152,6.858999999999999,25747.526765728126,3335190.8127066568
153,6.858999999999999,25692.441226446354,3360883.2539331033
154,6.858999999999999,26961.725691934684,3387844.979625038
155,6.858999999999999,17369.505622345325,3405214.4852473834
156,6.858999999999999,24791.92598765706,3430006.4112350405
157,6.858999999999999,17970.432206136895,3447976.8434411776
158,6.858999999999999,20905.60287692835,3468882.446318106
159,6.858999999999999,25288.172554543744,3494170.6188726495
160,6.858999999999999,25840.698103782626,3520011.316976432
161,6.858999999999999,26407.973420846076,3546419.2903972785
162,6.858999999999999,26586.077778841067,3573005.3681761194
163,6.858999999999999,25555.003411499412,3598560.3715876187
164,6.858999999999999,27252.01535032691,3625812.3869379456
165,6.858999999999999,25810.42208864481,3651622.8090265905
166,6.858999999999999,5177.41332888765,3656800.222355478
