2019-04-12 19:44:35.921318, duration (m), 1.2704930981, ep, 61, epsilon, 5.880735125, ep_reward, -752.379069068, total reward, 21009.7207139
2019-04-12 19:47:40.466773, duration (m), 1.45491985083, ep, 62, epsilon, 5.880735125, ep_reward, -396.60801859, total reward, 20613.1126953
2019-04-12 19:52:06.026819, duration (m), 2.86008470058, ep, 63, epsilon, 5.880735125, ep_reward, -215.388427519, total reward, 20397.7242678
2019-04-12 19:55:25.152891, duration (m), 1.74600263437, ep, 64, epsilon, 5.880735125, ep_reward, -3546.46684283, total reward, 16851.257425
2019-04-12 19:58:41.349086, duration (m), 1.68279064894, ep, 65, epsilon, 5.880735125, ep_reward, -591.004597187, total reward, 16260.2528278
2019-04-12  :03:06.591528, duration (m), 2.8565320015, ep, 66, epsilon, 5.880735125, ep_reward, -56.4568394924, total reward, 16203.7959883
2019-04-12  :07:34.712447, duration (m), 2.86152749856, ep, 67, epsilon, 5.880735125, ep_reward, 3228.63865805, total reward, 19432.4346463
2019-04-12  :11:44.131127, duration (m), 2.55586305062, ep, 68, epsilon, 5.880735125, ep_reward, -2979.70393927, total reward, 16452.7307071
2019-04-12  :15:12.548947, duration (m), 1.86186951796, ep, 69, epsilon, 5.880735125, ep_reward, 4153.06877976, total reward, 20605.7994868
2019-04-12  :18:57.822755, duration (m), 2.17199963331, ep, 70, epsilon, 5.880735125, ep_reward, -1641.2583132, total reward, 18964.5411736
2019-04-12  :23:39.510447, duration (m), 2.79265666405, ep, 71, epsilon, 5.58669836875, ep_reward, 3790.50011363, total reward, 22755.0412873
2019-04-12  :28:06.337732, duration (m), 2.81778811614, ep, 72, epsilon, 5.58669836875, ep_reward, 3755.2954534, total reward, 26510.3367407
2019-04-12  :32:32.386781, duration (m), 2.8050211668, ep, 73, epsilon, 5.58669836875, ep_reward, 4532.66499733, total reward, 31043.001738
2019-04-12  :36:57.970769, duration (m), 2.8115771691, ep, 74, epsilon, 5.58669836875, ep_reward, 4648.45308484, total reward, 35691.4548228
2019-04-12  :41:22.490817, duration (m), 2.80747489929, ep, 75, epsilon, 5.58669836875, ep_reward, -2202.30411637, total reward, 33489.1507065
2019-04-12  :45:45.318786, duration (m), 2.81247733037, ep, 76, epsilon, 5.58669836875, ep_reward, 7307.84636881, total reward, 40796.9970753
